created_at,user_id,order_type,order_id,isin,quantity,unit_price
2024-03-20 00:59:03,user|57f4lb88pr59ukwzm8gpp2c5,BUY,692070b3-9c05-438c-9c59-a58fd5650fd3,LU59478382904,23,73.27
2023-01-02 01:59:03,user|57f4lb88pr59ukwzm8gpp2c5,SELL,692070b3-9c05-438c-9c59-a58fd5650ld3,LU59478382904,25,72.27
2023-01-03 12:37:34,user|2vo2lu6gm28yawaihjf9qius,SELL,d2e27f40-f526-441e-8d6f-3ae2c68d21f9,LU86746320721,85,46.6
2023-01-03 13:37:34,user|2vo2lu6gm28yawaihjf9qius,BUY,d2e27f40-f526-441e-8d6f-3ae2c68d01f9,LU86746320721,82,49.6
2023-01-03 22:44:59,user|fuzwha641i5vo3nefdas7bvs,BUY,2241ec88-dc11-45af-a472-33d0b094e0d6,LU69875763063,56,72.84
2023-01-04 00:53:22,user|jr3zrjyyn916h33kmobwyb2s,BUY,0ffd1f7a-b974-4929-bfdf-9ce62d4c1eb0,LU55761486221,71,91.1
2023-01-05 02:52:41,user|8c0t485ebefr2hshxg8zcpwb,SELL,c57fbae6-a3d8-46cc-bef5-ca6cd727cdb0,LU08499638757,19,69.64
2023-01-05 03:07:23,user|n4jjtiirlddz2b2lryq8lucl,BUY,f97001e2-72d7-4e90-99e2-125edb57e43a,LU71203344433,20,96.78
2023-01-05 17:17:59,user|n4jjtiirlddz2b2lryq8lucl,BUY,4f2e5108-32c9-4aa5-8f65-c671c1803d05,LU22881451923,88,21.42
2023-01-05 17:26:58,user|9vlhftfhtqi0qk2jmgy7909n,BUY,460f3637-d172-45c6-9265-c21015711ded,LU63570539311,40,34.8
2023-01-05 21:18:14,user|1dups1jc996hp9mnntxkxwdj,BUY,4ea7ae0b-826d-4fba-9a62-0c070342dc53,LU97005759224,33,30.62
2023-01-06 08:36:40,user|rdwyuip7v8y1m8nftvqejsh7,BUY,a6b9a14e-c923-4825-a17a-1eb9b313885d,LU48518692052,58,62.6
2023-01-06 13:24:24,user|n4jjtiirlddz2b2lryq8lucl,BUY,cab82e5e-0058-4b29-8b07-b16ce98b919c,LU69875763063,55,55.48
2023-01-06 15:02:33,user|9vx7okclbbulpwkidlvp95ak,BUY,acb8d01a-2dab-4bbe-a0b0-84d0e6586b26,LU84442705855,25,72.98
2023-01-07 01:20:15,user|sr47ox3odrn503f45byfe8zp,BUY,41c40d9a-f803-4b6a-8291-b4b4e5ce59c6,LU19957116620,27,77.14
2023-01-07 02:25:47,user|n4jjtiirlddz2b2lryq8lucl,SELL,ae4d0040-203b-4c63-8519-fbd44a83fa1b,LU62890211626,66,36.16
2023-01-07 13:20:39,user|y2muspdb3u17vql0e0x3nxat,SELL,d65a1362-bba8-485d-a321-ad4a55b2c908,LU81313083981,45,72.47
2023-01-08 09:00:58,user|y2yigeg7wbfjaityxn4l2ln0,BUY,4fa1958f-1e11-41df-8693-87d7789de9af,LU90362253270,61,88.21
2023-01-08 19:37:29,user|to643nrvqzblg6ukz706zxrl,BUY,c3ede09e-14c9-4db7-b049-1232f436f92d,LU22396973437,31,63.37
2023-01-09 08:45:22,user|ubkf836t44b410ahq6hs2g5h,BUY,531b3e64-9d4a-4d39-8625-90f1159489cc,LU81313083981,93,99.97
2023-01-09 15:07:06,user|rdwyuip7v8y1m8nftvqejsh7,BUY,6ec176af-98d0-491a-9c6b-0d3f74135c92,LU88019357661,22,25.13
2023-01-09 15:08:07,user|zy1q3cd3ot72b43rolvaoki9,BUY,e873674a-40c7-47c0-9396-0cddf6c7fac4,LU80209536837,40,87.19
2023-01-10 13:55:51,user|2zrlefzjnwrzirjmmru0dgcr,SELL,6fa0dfd5-3b10-49fc-bede-b80353fd9bc2,LU51752321978,12,37.53
2023-01-10 21:40:06,user|y43ecodh5jffc8ips8mprh4a,BUY,a69b8f5c-1f1d-4a62-8268-63f430438d59,LU04230872011,90,45.51
2023-01-11 00:51:26,user|iwm2qsd8jyeayy2klkx5v7nz,BUY,1c201255-6246-4e10-927a-551a6778ade1,LU88994779464,72,21.84
2023-01-11 07:38:26,user|1da4616q4vmfz6kks9k98z5p,BUY,3739f526-bb64-4084-878a-5ba6feb453e1,LU13395149883,3,58.58
2023-01-11 17:53:14,user|5p03hiqcgf33fotwqbk41v5d,BUY,429d5638-6ac2-4286-8097-1e85196ff39c,LU82445928564,27,84.43
2023-01-11 23:21:33,user|doj3lapgjh4fvc3ts09zizil,BUY,a2c37b82-ba92-4e1b-b515-0237a56cd9d8,LU69277838592,35,38.58
2023-01-12 00:00:59,user|yo9sb6afp79td6b9cgs9cygf,BUY,b7f811ad-5d66-437a-a586-46d04cd26b9e,LU28555696216,34,26.57
2023-01-12 10:02:01,user|tvu7ji2w80wpozzxbgh1v1k0,BUY,baf51b15-013c-484f-9399-2e1291ed66bb,LU29025844190,37,20.78
2023-01-13 03:27:38,user|1q6otxc00dwwkgs32tc3lvf2,BUY,33ceccee-5439-4c69-8d04-a27dd90a6218,LU03543140768,21,41.25
2023-01-13 08:15:11,user|iwm2qsd8jyeayy2klkx5v7nz,BUY,54d0d495-c2a4-43ae-9b07-c230402ea59e,LU48518692052,6,92.92
2023-01-13 21:30:41,user|2vo2lu6gm28yawaihjf9qius,BUY,be8c67bd-1504-46db-b03d-47ec11cdab36,LU80934925961,12,79.18
2023-01-14 05:29:39,user|n4jjtiirlddz2b2lryq8lucl,BUY,53bd984f-14c9-4094-bf72-eabfebba354b,LU88994779464,89,54.86
2023-01-14 14:43:26,user|5e4lx9bta458d9v0nxqqcsnl,BUY,7f585566-12b5-470d-9e8d-340c73cd2c1d,LU90362253270,15,23.97
2023-01-14 20:41:24,user|z5vqpdf31l1crdhbyifj86f9,SELL,cf765c3b-e5a1-4e38-8527-bd450a978f5e,LU90362253270,19,41.95
2023-01-15 14:03:23,user|5dd0el2af9qyqwhugmgoeic2,SELL,982e7430-c027-42a4-a825-f00aeeb4a86a,LU69875763063,48,91.77
2023-01-15 15:59:29,user|to643nrvqzblg6ukz706zxrl,BUY,21384e8e-05e9-475c-b89a-2d92d70f1a01,LU54411550319,96,95.98
2023-01-17 02:35:06,user|z5vqpdf31l1crdhbyifj86f9,BUY,0c819b5c-8f23-4b90-af25-7558d9a5064a,LU93079129459,38,23.35
2023-01-17 04:42:52,user|wcktjy2hmf9uemgla100b3l8,BUY,4a23ebc6-5495-44a1-85ac-c18af42da51f,LU37259837834,35,94.14
2023-01-17 11:06:09,user|5w3nmw4lpcdba5pp5onk9834,BUY,f549516f-5b1e-4eda-a87a-fc3e01c3c8a5,LU08694402776,53,80.4
2023-01-17 11:26:02,user|t8symjfcadilby7qjb2xght6,BUY,f3d806c1-cb28-46d0-8557-8a4c2abdaaf3,LU04069939804,55,63.62
2023-01-17 11:40:52,user|doj3lapgjh4fvc3ts09zizil,BUY,03cf6eab-226b-4d7d-bbd8-f2c1e88056fd,LU05889830049,45,85.29
2023-01-17 23:13:18,user|nwe23gslqsumwpote6zs6xis,BUY,6575d3dc-bee1-4e58-9fa9-daeb8c233bb7,LU90362253270,100,49.52
2023-01-18 01:57:25,user|z5vqpdf31l1crdhbyifj86f9,BUY,e143e733-8908-4b71-b3e9-83e1a25c42d1,LU81158845960,80,38.08
2023-01-18 05:08:44,user|z5vqpdf31l1crdhbyifj86f9,SELL,8c34d3f6-0b2c-42c1-aa0b-d6996852cbcb,LU86475442729,25,75.15
2023-01-18 07:47:22,user|ni5bti3bot2jqy5zx7iu3qaf,BUY,d24e4e8c-f64f-486f-b2c6-f63afabc8d80,LU78392838295,91,41.36
2023-01-18 07:53:54,user|t9otnnn771mxkq3w5oytbczh,BUY,8df92afc-e551-4a1a-820b-93985030070a,LU15480185313,78,45.84
2023-01-18 14:10:55,user|9vlhftfhtqi0qk2jmgy7909n,SELL,4eec5448-f659-49da-b56d-3561e80a7ad2,LU23143381495,83,92.02
2023-01-18 15:20:41,user|oi2vc44qt65je5hons8c9f67,BUY,5c2f390c-a5b8-4351-9736-cf21841c4cf4,LU19629561682,73,26.17
2023-01-18 21:26:30,user|49ex7wyb8a4b3u4u4c2kv5th,BUY,5567d065-f067-444a-992b-3cad75158732,LU95045875597,27,65.88
2023-01-19 12:37:15,user|w8o3rqqb16h7epgy8db3vt9y,BUY,8f3ac23e-97c0-46d4-83da-6ae7a8f67bdf,LU81158845960,31,24.85
2023-01-19 14:27:21,user|2dylnkvoobhdp3g9e1eppd82,BUY,20bab753-661d-4d59-b9b6-5d340997e66e,LU35476330565,69,56.52
2023-01-19 21:15:25,user|vual4fs2pv5tgtnjl3qac6qv,BUY,7dc7da66-cfb7-4274-a92a-632468aac03e,LU95045875597,18,77.62
2023-01-20 00:31:36,user|q0hln0fyfbnazunnqgodsdf9,BUY,af621f73-7ab6-4caf-8c81-cbf054612ca3,LU63294864399,75,53.23
2023-01-20 10:56:45,user|n4jjtiirlddz2b2lryq8lucl,BUY,1ef2980e-8074-4e2f-87d5-2857846a51eb,LU70155679053,7,30.54
2023-01-20 17:49:55,user|w8o3rqqb16h7epgy8db3vt9y,BUY,e7601c1d-e0fe-496c-8532-61cbae4710d0,LU49830023958,48,85.45
2023-01-21 01:16:35,user|395yvink0d63rhj81fyh8va8,BUY,b0ebfddc-0dc3-48c2-86d8-8c8e592dc4c3,LU65901367700,69,78.37
2023-01-21 03:20:24,user|ubkf836t44b410ahq6hs2g5h,BUY,bb6b7ce5-bf4b-4514-a236-cc1b7a7fa7e6,LU75321547524,51,90.85
2023-01-21 11:00:04,user|eo1t58yg5z0gdejernebiym8,BUY,47c3b490-7039-4be7-a893-325daed60cd4,LU27902826212,77,32.42
